Date,Ticker,Price
1/10/2018,XST.TO,55.42
1/11/2018,XST.TO,55.09
1/12/2018,XST.TO,54.98
1/15/2018,XST.TO,54.92
1/16/2018,XST.TO,55.01
1/17/2018,XST.TO,55.32
1/18/2018,XST.TO,55.66
1/19/2018,XST.TO,55.9
1/22/2018,XST.TO,56.18
1/23/2018,XST.TO,56.31
1/24/2018,XST.TO,56.04
1/25/2018,XST.TO,56.09
1/26/2018,XST.TO,56.16
1/29/2018,XST.TO,55.66
1/30/2018,XST.TO,54.9
1/31/2018,XST.TO,54.74
2/1/2018,XST.TO,53.83
2/2/2018,XST.TO,53.4
2/5/2018,XST.TO,52.84
2/6/2018,XST.TO,52.97
2/7/2018,XST.TO,52.99
2/8/2018,XST.TO,52.43
2/9/2018,XST.TO,52.41
2/12/2018,XST.TO,52.7
2/13/2018,XST.TO,52.57
2/14/2018,XST.TO,52.63
2/15/2018,XST.TO,52.63
2/16/2018,XST.TO,53.67
2/20/2018,XST.TO,53.34
2/21/2018,XST.TO,52.89
2/22/2018,XST.TO,52.74
2/23/2018,XST.TO,52.83
2/26/2018,XST.TO,52.99
2/27/2018,XST.TO,53.61
2/28/2018,XST.TO,53.64
3/1/2018,XST.TO,53.1
3/2/2018,XST.TO,53.34
3/5/2018,XST.TO,53.42
3/6/2018,XST.TO,53.74
3/7/2018,XST.TO,53.45
3/8/2018,XST.TO,53.55
3/9/2018,XST.TO,53.71
3/12/2018,XST.TO,54.1
3/13/2018,XST.TO,53.81
3/14/2018,XST.TO,54.16
3/15/2018,XST.TO,54.28
3/16/2018,XST.TO,54.15
3/19/2018,XST.TO,54.25
3/20/2018,XST.TO,53.8
3/21/2018,XST.TO,53.2
3/22/2018,XST.TO,52.64
3/23/2018,XST.TO,51.9
3/26/2018,XST.TO,51.78
3/27/2018,XST.TO,51.4
3/28/2018,XST.TO,52.02
3/29/2018,XST.TO,52.75
4/2/2018,XST.TO,52.33
4/3/2018,XST.TO,51.91
4/4/2018,XST.TO,52.23
4/5/2018,XST.TO,52.02
4/6/2018,XST.TO,51.86
4/9/2018,XST.TO,52.2
4/10/2018,XST.TO,51.7
4/11/2018,XST.TO,51.68
4/12/2018,XST.TO,51.68
4/13/2018,XST.TO,51.51
4/16/2018,XST.TO,51.49
4/17/2018,XST.TO,51.4
4/18/2018,XST.TO,51.88
4/19/2018,XST.TO,51.6
4/20/2018,XST.TO,51.6
4/23/2018,XST.TO,52.37
4/24/2018,XST.TO,51.59
4/25/2018,XST.TO,51.89
4/26/2018,XST.TO,52.37
4/27/2018,XST.TO,53.02
4/30/2018,XST.TO,53.13
5/1/2018,XST.TO,52.34
5/2/2018,XST.TO,51.73
5/3/2018,XST.TO,52.01
5/4/2018,XST.TO,52.06
5/7/2018,XST.TO,52.03
5/8/2018,XST.TO,52.18
5/9/2018,XST.TO,51.88
5/10/2018,XST.TO,52.4
5/11/2018,XST.TO,52.19
5/14/2018,XST.TO,52.36
5/15/2018,XST.TO,52.63
5/16/2018,XST.TO,52.95
5/17/2018,XST.TO,52.44
5/18/2018,XST.TO,52.29
5/22/2018,XST.TO,52.12
5/23/2018,XST.TO,52.82
5/24/2018,XST.TO,52.68
5/25/2018,XST.TO,53.12
5/28/2018,XST.TO,53
5/29/2018,XST.TO,53.17
5/30/2018,XST.TO,53.31
5/31/2018,XST.TO,53.3
6/1/2018,XST.TO,53.48
6/4/2018,XST.TO,53.75
6/5/2018,XST.TO,53.78
6/6/2018,XST.TO,53.19
6/7/2018,XST.TO,52
6/8/2018,XST.TO,52.37
6/11/2018,XST.TO,52.46
6/12/2018,XST.TO,52.72
6/13/2018,XST.TO,52.9
6/14/2018,XST.TO,53.41
6/15/2018,XST.TO,53.89
6/18/2018,XST.TO,54.13
6/19/2018,XST.TO,53.99
6/20/2018,XST.TO,54.82
6/21/2018,XST.TO,54.65
6/22/2018,XST.TO,54.88
6/25/2018,XST.TO,54.88
6/26/2018,XST.TO,55.36
6/27/2018,XST.TO,54.93
6/28/2018,XST.TO,55.27
6/29/2018,XST.TO,54.84
7/3/2018,XST.TO,54.3
7/4/2018,XST.TO,54.42
7/5/2018,XST.TO,53.94
7/6/2018,XST.TO,54.43
7/9/2018,XST.TO,54.76
7/10/2018,XST.TO,55.44
7/11/2018,XST.TO,55.78
7/12/2018,XST.TO,56.76
7/13/2018,XST.TO,56.96
7/16/2018,XST.TO,57.13
7/17/2018,XST.TO,56.98
7/18/2018,XST.TO,56.41
7/19/2018,XST.TO,56.58
7/20/2018,XST.TO,56.08
7/23/2018,XST.TO,56.07
7/24/2018,XST.TO,55.21
7/25/2018,XST.TO,54.92
7/26/2018,XST.TO,55.27
7/27/2018,XST.TO,55.35
7/30/2018,XST.TO,54.88
7/31/2018,XST.TO,54.92
8/1/2018,XST.TO,54.63
8/2/2018,XST.TO,54.55
8/3/2018,XST.TO,54.73
8/7/2018,XST.TO,53.92
8/8/2018,XST.TO,54.02
8/9/2018,XST.TO,54.16
8/10/2018,XST.TO,53.29
8/13/2018,XST.TO,53.6
8/14/2018,XST.TO,54.08
8/15/2018,XST.TO,54.04
8/16/2018,XST.TO,54.8
8/17/2018,XST.TO,55.09
8/20/2018,XST.TO,54.67
8/21/2018,XST.TO,54.51
8/22/2018,XST.TO,54.55
8/23/2018,XST.TO,54.41
8/24/2018,XST.TO,54.03
8/27/2018,XST.TO,54.06
8/28/2018,XST.TO,53.72
8/29/2018,XST.TO,53.8
8/30/2018,XST.TO,54.05
8/31/2018,XST.TO,53.73
9/4/2018,XST.TO,53.22
9/5/2018,XST.TO,53.23
9/6/2018,XST.TO,54.31
9/7/2018,XST.TO,54.2
9/10/2018,XST.TO,54.35
9/11/2018,XST.TO,54.05
9/12/2018,XST.TO,54.61
9/13/2018,XST.TO,54.2
9/14/2018,XST.TO,54.14
9/17/2018,XST.TO,53.98
9/18/2018,XST.TO,54.7
9/19/2018,XST.TO,54.37
9/20/2018,XST.TO,54
9/21/2018,XST.TO,54.16
9/24/2018,XST.TO,53.93
9/25/2018,XST.TO,53.71
9/26/2018,XST.TO,53.59
9/27/2018,XST.TO,53.71
9/28/2018,XST.TO,53.37
10/1/2018,XST.TO,53.01
10/2/2018,XST.TO,53.25
10/3/2018,XST.TO,52.9
10/4/2018,XST.TO,52.5
10/5/2018,XST.TO,52.18
10/9/2018,XST.TO,52.25
10/10/2018,XST.TO,51.51
10/11/2018,XST.TO,51.16
10/12/2018,XST.TO,51.88
10/15/2018,XST.TO,51.81
10/16/2018,XST.TO,51.86
10/17/2018,XST.TO,51.86
10/18/2018,XST.TO,51.81
10/19/2018,XST.TO,52.68
10/22/2018,XST.TO,52.61
10/23/2018,XST.TO,52.7
10/24/2018,XST.TO,52.37
10/25/2018,XST.TO,52.49
10/26/2018,XST.TO,51.97
10/29/2018,XST.TO,51.96
10/30/2018,XST.TO,52.63
10/31/2018,XST.TO,53.11
11/1/2018,XST.TO,52.73
11/2/2018,XST.TO,52.36
11/5/2018,XST.TO,53.42
11/6/2018,XST.TO,53.5
11/7/2018,XST.TO,54.4
11/8/2018,XST.TO,54.62
11/9/2018,XST.TO,55.07
11/12/2018,XST.TO,54.95
11/13/2018,XST.TO,54.62
11/14/2018,XST.TO,54.63
11/15/2018,XST.TO,54.23
11/16/2018,XST.TO,54.47
11/19/2018,XST.TO,54.25
11/20/2018,XST.TO,53.77
11/21/2018,XST.TO,54.75
11/22/2018,XST.TO,54.93
11/23/2018,XST.TO,55.4
11/26/2018,XST.TO,55.61
11/27/2018,XST.TO,55.3
11/28/2018,XST.TO,56.16
11/29/2018,XST.TO,56.8
11/30/2018,XST.TO,56.85
12/3/2018,XST.TO,56.78
12/4/2018,XST.TO,56.61
12/5/2018,XST.TO,56.83
12/6/2018,XST.TO,56.78
12/7/2018,XST.TO,56.01
12/10/2018,XST.TO,56.42
12/11/2018,XST.TO,56.61
12/12/2018,XST.TO,56.67
12/13/2018,XST.TO,57.19
12/14/2018,XST.TO,56.58
